,sentences,class
83,"The Vision of Vidyalankar Institute of Technology is to become a globally recognized institute where learners are nurtured in a scholarly environment to evolve into competent professionals and researches to benefit the society. The Mission of Vidyalankar Institute of Technology is to evole a curriculum which emphasizes on strong fundamentals with the flexibility to choose advanced courses of interest and gain exposure to tools and techniques in contemporary subjects. The Values that the institute imparts are namely Honesty, Responsibility, Integrity, Committment, Excellence, and Salubrious Attitude.",1
84,"The Mascot of Vidyalankar Institue of Technology is a Bull, which denotes strength, power, force, and the ability to move ahead with determination.",1
85,"Address: Vidyalankar Institute of Technology,
 Vidyalankar Educational Campus,
 Vidyalankar College Marg,
 Wadala (E), Mumbai - 400 037,
 Maharashtra, India 
 Telefax: 022 2416 11 26 
 The campus is located in Wadala (East), a central suburb of Mumbai, and stretches over 11 acres of land. It is close to residential complexes namely, Dosti Acres and Lloyd's Estate.",1
86,"Address: Vidyalankar Institute of Technology,
 Vidyalankar Educational Campus,
 Vidyalankar College Marg,
 Wadala (E), Mumbai - 400 037,
 Maharashtra, India 
 Telefax: 022 2416 11 26 
 The campus is located in Wadala (East), a central suburb of Mumbai, and stretches over 11 acres of land. The landmarks and neighbourhood near the college include residential complexes namely, Dosti Acres and Lloyd's Estate.",1
87,I'm not getting this! I'm so sorry! Please try asking in some other manner.,1
88,What is Vidyalankar Institute of Technology's dress code,2
89,what is VIT's dress code,2
90,is there any uniform in the college,2
91,what to wear in the college,2
92,whhat to wear in the campus,2
93,what dress code is to be followed in the college campus,2
94,is there any fixed uniform to be weared in the college campus,2
95,which clothes to put on when in campus,2
96,measures taken to prevent ragging on campus,2
97,is the college subject to ragging,2
98,are students ragging safe in Vidyalankar Institute of Technology,2
99,are students ragged in VIT,2
100,does college prevent ragging,2
101,anti-ragging initiatives taken by the college,2
102,The dress code in the institute should be proper and appropriate. There is no such system of wearing a particular college uniform but a professional appearance is appreciated. Every Monday & Thursday - formal wear is encouraged,2
103,"Ragging is strictly prohibited and is a punishable offence as per the provisions of Government of Maharashtra as well as AICTE and UGC. If any student is found guilty of or abetting the ragging, strict disciplinary action shall be initiated and the student shall be penalized as per the provisions. THe Anti-Ragging Committee is responsible for administering the discipline system on the campus.",2
104,I'm not getting this! I'm so sorry! Please try asking in some other manner.,2
105,academic programmes offered by the college,3
106,what are the programs offered to students in Engineering,3
107,whic different streams are available in the college,3
108,what are the different subject branches offered by VIT,3
109,Vidyalankar Institute of Technology offers which courses to the engineering students,3
110,various courses offered to students in the college,3
111,various under graduate engineering programmes in the college,3
112,various post graduate engineering programmes in the college,3
113,undergraduate engineering streams,3
114,post graduate engineering streams,3
115,what is VIT admission process,3
116,what is college's admission procedure,3
117,how to get admission in Vidyalankar Institute of Technology,3
118,procedure to enrollin VIT,3
119,enrollment process in the college,3
120,what are the institue timings,3
121,when does the college start in the morning,3
122,moring college timings,3
123,at what time does the college begin,3
124,when does the college open,3
125,office timings of the college,3
126,what are the VIT office opening timings,3
127,what is the attendance requirement,3
128,how much attendace is mandatory in the college,3
129,what are the attendace requirements by the college,3
130,how to apply for new ID card if old one is lost,3
131,how to get new identity card if previous card got misplaced,3
132,how much does new ID card cost,3
133,how much money to pay for new identity card,3
134,"Following are the offered Programs / Streams / Branches: Undergraduate First year Engineering (FE) 
 Undergraduate Direct Second Year (DSY) 
 Postgraduate  Masters of Engineering (ME) 
 Postgraduate  Masters of Management Studies 
 Doctorate PhD in Technology",3
135,"Following are the offered Undergraduate Programs / Streams / Branches: Information Technology (INFT) 
 Computer Engineering (CMPN) 
 Electronics Engineering (ETRX) 
 Electronics and Telecommunication Engineering (EXTC) 
 Bio-Medical Engineering (BIOM) ",3
136,"Following are the offered Under Graduate Programs / Streams / Branches: Information Technology (INFT) 
 Computer Engineering (CMPN) 
 Electronics Engineering (ETRX) 
 Electronics and Telecommunication Engineering (EXTC) 
 Bio-Medical Engineering (BIOM) ",3
137,"Following are the offered Post Graduate Programs / Streams / Branches: Information Technology (INFT) 
 Computer Engineering (CMPN) 
 Electronics and Telecommunication Engineering (EXTC) ",3
138,"The Institute follows eligibility criteria as specified by the Directorate of Technical Education,Maharashtra State. For more information regarding admission or enrollment procedure refer https://www.mahacet.org/",3
139,"The Institute Timings are as follows:
 College Timings: 8:00am to 4:00pm (First Shift), 11:15am to 6:45pm (Second Shift)
 Office Timings:
 A-Block Vice Principal's Office 10:30am to 11:15am (Monday to Friday)
 A-Block Registrar's Office 3:00 to 5:30pm (Monday to Friday), 10:00am to 4:00pm (Saturday)
 B Block Exam Cell 1:15pm to 1:45pm (Monday to Friday)
 M Block Training & Placement 1:15pm to 1:45pm (Monday to Friday)
 Library Timings: 9:00am to 5:00pm
 Reading Hall Timings:8:00am to 8:00pm
 Computer Centre: 9:00am to 8:00pm
 Stationary: 10:00am to 5:00pm
 Cafeteria: 8:00am to 7:00pm",3
140,Report lost or damaged identity card to the Institute Authorities without any delay and follow the procedure to get a new ID Card. Replacement card shall be issued on submission of application in a prescribed format along with fees of Rs. 300.00.,3
141,"As per the rules and regulations of the University of Mumbai, it is necessary for every student to attend atleast 75% of lectures and practicals of every subject. Student attendance is monitored by the respective department.",3
142,"Examinations are conducted by the University at the end of each semester. The requisite exam fee will be paid at the Institute, prior to every semester examination. Please visit www.mu.ac.in for more details. Students may contact the Examination Cell for more details",3
143,I'm not getting this! I'm so sorry! Please try asking in some other manner.,3
144,is there any lecture capture facility,4
145,what if someone misses the classes,4
146,are the lectures recorded,4
147,where do professors put there lectures,4
148,is there any study room,4
149,quiet place for studying in the college,4
150,does college campus have a facility to refer books or textbooks,4
151,is there a library to go and study,4
152,what are the library norms,4
153,what are the college library rules,4
154,are there any rules or protocols to issue books,4
155,what are the practical learning facilities in the college,4
156,are there computer labs to perform practicals in the college,4
157,where do students perform computer practicals,4
158,are there any digital laboratory facilities in the campus,4
159,how many computer labs in the campus,4
160,software developemtn facilities,4
161,technical literacy facilities for computer engineering,4
162,what are the internet facilitites in college campus,4
163,networking facilities in the campus,4
164,wifi requirements,4
165,free wifi connection for students,4
166,high speed net facilities,4
167,email ids for students,4
168,are students provided with personal email ids,4
169,is there any email id providied by the college,4
170,what is the email id given by the college,4
171,student management softwares used by VIT,4
172,is there any student performance reviewing software,4
173,where to find student personal academic details,4
174,where can we find previous fee pay and academic information,4
175,how to download old fee receipts,4
176,is there any student profile maintenance software,4
177,how can one request for student bonafide certificate,4
178,how to apply for railway concession pass for a student,4
179,does college rpovide railway travelling pass facility,4
180,how to digitally enroll for examination,4
181,does college have online exam enrollment,4
182,how to apply for exams online,4
183,are parents contacted by the college,4
184,how is contacting achieved between parents students and college,4
185,do parents receive notifications from the college,4
186,is there any messaging or sms facility,4
187,what are the cafeteria facilities in the college campus,4
188,any canteen or cafe in VIT,4
189,canteen facility for ohu students in the campus,4
190,are there any coffee cafes in the campus,4
191,what cafeteria and food services are provided by the college,4
192,what are the different souveniers available for vit students,4
193,does the campus have any photography or stationary service,4
194,where can students buy necessary stationary requirements,4
195,are there hostels provided by the college,4
196,where is the Vidyalnakar Institute of Technology hostel located,4
197,does college have any hostel or paying guest facility available,4
198,different amenities available for physically challenged students,4
199,does vit provide special services to physically impaired students,4
200,are there necessary helplines for physcally challenged,4
201,important telephone numbers for student assistance,4
202,where to contact if students need assistance,4
203,are there any helplines for student assistance,4
204,are there first aid facilities in the campus,4
205,is there any medical assistance in case of emergency,4
206,what medical facilities does vit have,4
207,are there any measures in case of emergency,4
208,The institute provides students with the Lecture Capture System which is a comprehensive e - learning solution. The core feature is automatic recording and distribution of classroom lectures. This enables the students to re-live their their classroom experience.,4
209,"The institute library is one of the key learning resources which assists students in fulfilling their information requirements in a comfortable study space. The Reading room houses all books for reference work. Institute campus library has 30650 books consisting of engineering and management subjects, technical journals, periodicals.",4
210,"Library Norms are as follows:
UG and PG students will be issued 5 books for 45 days as per availability.
Library hours are: 9:00am to 5:00pm.
Reading Hall hours are: 8:00am to 8:00pm.
 Late fees of Rs. 5.00 per book per day for delay in returning.",4
211,"Institute has a Computer Centre which gives open access to students for their needs. Apart from IBM compatible Pentium 4 computers, Computer Centre also houses Apple Desktops. hence the practical learning needs are properly taken care.",4
212,"The Institute provides Internet Wifi serivces in the campus, to the students as well as the professors.",4
213,Students are issued email id firstname.lastname@vit.edu.in on Institute server for academic use.,4
214,"ERP (Enterprise Resource Planning) is a software aimed at bringing in process refinement, efficiency, accountability and control in the college. Apart from managing the administrative, financial and academic functions of the institution, it is also a platform for sharing information between all stakeholders, viz. Students, Parents, Teachers, Administrators, Management, Corporate and the Alumni.",4
215,"The roles played by ERP are as follows:
 Transparency in administration at all levels.
Accountability in the system.
 Improvement in the quality of education management system.
Profile Maintenance.
 Exam Enrollment.
 Check availability of books in the library.
Request for Bonafide Certificate.
 Class Time-table available",4
216,Students/Parents who have submitted their cellphone numbers can get message alerts from the Institute informing them about important schedules and announcements.,4
217,"The Institute Cafeteria offers an extensive menu comprising a variety of sumptous South Indian, North Indian, Chinese and Continental food in a comfortable eating environment. The Cafe Coffee Day corner offers grab - n - go items such as sandwiches, puffs, soups noodles, cold coffees and hot teas. Utmost care is taken to maintain cleanliness. Canteen Timings, Open: Monday to Saturday 8:00am to 7:00pm",4
218,"Students can purchase VIT souveniers of their interests for personal use or for gifting. Many articles like T-Shirts, Caps, Mugs, Pens, Watches, Wallets, etc. emblazoned with the VIT logo are available in this outlet.",4
219,VIT has a stationary outlet managed under contract where various stationary items are available. Pricing is reviewed and approved by the Institute authority. Students can also avail photocopying facility here.,4
220,"Vidyalankar Gurukul, a hostel for boys at Nerul, Navi Mumbai, is managed by Vidyalankar. It is located within a walking distance from Nerul Railway Station . The hostel also fulfills internet and computer requirements.",4
221,Institute has a sick room available for students and staff members,4
222,"The Institute has a sick room for medical assistance during any emergency. First Aid boxes are available at Main Security Cabin, Gymkhana, Main Office. There is also an Ambulance Facility on campus.",4
223,"VIT is equipped with rest room for physically challenged students. There is a specially marked parking space too. A ramp is fitted alongside the staricase at the entry. In addition to elevators, there is a stair climber too.",4
224,"Important Telephone Numbers for Student Assistance:
 Security Officer: 9100/9101 from campus phone located in Telephone booth.
 Fire: 101.
 Police: 100.
 Hospitals: KEM Hospital-022 2413 60 51, Sion Hospital-022 2407 63 84/5.
 Ambulance: 1252.
 Principal: 1001 from Campus phone located in telephone booth.",4
225,"If you happen to lose any articles or books or any personal thing, you can contact the Lost and Found office (F204) in the F block and attempt to retrieve them. Also, please deposit any articles you may find on the campus in the same office so that the righful owners can reclaim them.",4
226,I'm not getting this! I'm so sorry! Please try asking in some other manner.,4
227,what are the different activities conducted to make the college life eventful,5
228,what interesting events are organised in the college,5
229,are there any cultural or sports events conducted in the campus,5
230,how is the campus life at vit,5
231,what do college students do to make college life interesting,5
232,what is the name of our annual fest,5
233,when is the college annual festival conducted in the college,5
234,are there any annual functions in the college,5
235,what is Friday Pathshaala all about,5
236,what is friday pathshala,5
237,what are the weekly functions or interesting events planned by the college,5
238,are there any weekly events for students to enjoy,5
239,does VIT have its own magazine and newspaper publication,5
240,what is the name of VIT's newspaper,5
241,can students submit there articles in college magazine,5
242,what is the name of college magazine,5
243,does vidyalnakar have  any yearly publications for students to read,5
244,what are the different student chapters in the college,5
245,are there any student clubs or committees in the campus,5
246,can students participate in technical clubs or committess in the college,5
247,how does the college provide exposure to students,5
248,are there any extra-curricular clubs or committess to participate,5
249,what is the meaning of corporate social responsibility,5
250,what does corporate social responsibility mean,5
251,what does it mean to be corporate socially responsible,5
252,VIT has always encouraged students to give expressions to their talents and creativities by organising cultural and sports related activities in the college. The Student Council manages the activities under the guidance of the Conveners. The Institute has indoor as well as outdoor sports facilities with 2 playgrounds available in the campus.,5
253,"The Institute has indoor as well as outdoor sports facilities with 2 playgrounds available in the campus. The Sports Committee arranges tournaments with sports like carrom, chess, table tennis, football,volleyball, Kho-kho, cricket, kabbadi, arm wrestling, etc. Inter-collegiate S-6 cricket tournament is a major attraction which is held during February - March every year.",5
254,Students experience many interesting events during their campus life here at Vidyalankar Institute of Technology. Our Annual Fest is known as 'Verve',5
255,"Verve, our Inter-College annual festival brings in the fervor, zeal, enthusiasm in the campus where real talent is highlighted. The Student Activity Centre offers a place for students to organise and plan activities at various levels.",5
256,"Friday Paathshaala is a weekly event everyone looks forward to with breathless anticipation every Friday between 4:30pm to 6:30pm in the amphitheatre.Dance, movie screenings, skits, rock shows and many more interesting events give them an opportunity to be free spirits on the campus.",5
257,"College publications include our own newsletter named 'Vector' and our annual magazine named 'V Express'. Vector has it's three objectives,
 enhancing the learning environment on campus,
 acquainting students with national and world level events, and 
 encouraging a readership habit.",5
258,College publications include our own newsletter named 'Vector' and our annual magazine named 'V Express'. V Express serves as an output for the literary creativity of the students of VIT. The editing staff consists of students from all courses.,5
259,"Department Student Association:
 ITSA - Information Technology Students' Association 
 CESA - Computer Engineering Students' Association 
 EESA - Electronics Students' Association 
 ETSA - Electronics and Telecommunications Students' Association 
 BMSA - Bio-Medical Students' Association 
 MMSSA - Master of Management Studies Students' Association.",5
260,"Student Chapters: 
 ACM - Association for Computer Machinery 
 CSI - Computer Society of India 
 IEEE - Institute of Electrical and Electronics Engineers 
 IETE - Institute of Electronics and Telecommunication Engineering 
 BMESI - Bio Medical Engineers' Society of India 
 MMSPB - Master of Management Studies Professional Body 
 ISTE -  Indian Society for Technical Education 
 ",5
261,I'm not getting this! I'm so sorry! Please try asking in some other manner.,5
262,Goodbye!,6
263,Good Bye!,6
264,Bye InBOT,6
265,"Goodbye InBOT, it was nice talking to you",6
266,Bubye! Have a nice day,6
267,Bubye,6
268,See you later,6
269,Sayonara InBOT!,6
270,Au Revoir,6
271,AuRevoir,6
272,Ma'a as-salaama,6
273,Bidaya,6
274,Yasou,6
275,Khuda hafiz,6
276,Goodbye! Have a good day!,6
277,Namaste!,6
278,Have a good day ahead!,6
279,I'm not getting this! I'm so sorry! Please try asking in some other manner.,6
