,sentences,class
61,thought behind starting this Vidyalankar Institute of Technology,1
146,Report lost or damaged identity card to the Institute Authorities without any delay and follow the procedure to get a new ID Card. Replacement card shall be issued on submission of application in a prescribed format along with fees of Rs. 300.00.,3
92,"Address: Vidyalankar Institute of Technology,
 Vidyalankar Educational Campus,
 Vidyalankar College Marg,
 Wadala (E), Mumbai - 400 037,
 Maharashtra, India 
 Telefax: 022 2416 11 26 
 The campus is located in Wadala (East), a central suburb of Mumbai, and stretches over 11 acres of land. The landmarks and neighbourhood near the college include residential complexes namely, Dosti Acres and Lloyd's Estate.",1
8,Good morning,0
85,neighboring buildings and landmarks near the college campus,1
272,I'm not getting this! I'm so sorry! Please try asking in some other manner.,5
109,"Ragging is strictly prohibited and is a punishable offence as per the provisions of Government of Maharashtra as well as AICTE and UGC. If any student is found guilty of or abetting the ragging, strict disciplinary action shall be initiated and the student shall be penalized as per the provisions. THe Anti-Ragging Committee is responsible for administering the discipline system on the campus.",2
12,Guten Tag,0
183,how can one request for student bonafide certificate,4
1,Hello,0
170,wifi requirements,4
245,are there any annual functions in the college,5
112,what are the programs offered to students in Engineering,3
58,who laid college's foundation stone,1
131,office timings of the college,3
264,"The Institute has indoor as well as outdoor sports facilities with 2 playgrounds available in the campus. The Sports Committee arranges tournaments with sports like carrom, chess, table tennis, football,volleyball, Kho-kho, cricket, kabbadi, arm wrestling, etc. Inter-collegiate S-6 cricket tournament is a major attraction which is held during February - March every year.",5
213,are there any measures in case of emergency,4
188,how to apply for exams online,4
57,Who founded VIT,1
2,"hey, whats up!",0
65,what are the values embibed by the college,1
81,how to travel to the college,1
287,Goodbye! Have a good day!,6
247,what is friday pathshala,5
231,Institute has a sick room available for students and staff members,4
180,where can we find previous fee pay and academic information,4
174,are students provided with personal email ids,4
35,Hi! I hope you are in a good health!,0
47,Tell something about Vidyalankar Institute of Technology,1
271,"Student Chapters: 
 ACM - Association for Computer Machinery 
 CSI - Computer Society of India 
 IEEE - Institute of Electrical and Electronics Engineers 
 IETE - Institute of Electronics and Telecommunication Engineering 
 BMESI - Bio Medical Engineers' Society of India 
 MMSPB - Master of Management Studies Professional Body 
 ISTE -  Indian Society for Technical Education 
 ",5
94,What is Vidyalankar Institute of Technology's dress code,2
41,"My creators are VIT engineers Ritika, Mrudual, Dishant, and Parth",0
214,what is VPrint,4
165,how many computer labs in the campus,4
156,does college campus have a facility to refer books or textbooks,4
138,how much does new ID card cost,3
158,what are the library norms,4
46,How is the college,1
211,is there any medical assistance in case of emergency,4
152,are the lectures recorded,4
15,Helloooo,0
22,Who created you?,0
175,is there any email id providied by the college,4
69,who is the college's mascot,1
276,"Goodbye InBOT, it was nice talking to you",6
169,networking facilities in the campus,4
68,Mission of the college,1
75,where is the campus located,1
236,I'm not getting this! I'm so sorry! Please try asking in some other manner.,4
42,"Dishant, Parth, Mrudula, and Ritika have created me!",0
258,how does the college provide exposure to students,5
83,nearby landmarks close to college,1
216,how to take printouts in the campus,4
88,"The basic objective of starting this institute was to satisfy the inner urge of the founder to guide eager younger minds in appropriate direction and immbibe nobler values of life, thereby enhancing their worthiness.",1
163,where do students perform computer practicals,4
67,college's missions,1
208,where to contact if students need assistance,4
148,"Examinations are conducted by the University at the end of each semester. The requisite exam fee will be paid at the Institute, prior to every semester examination. Please visit www.mu.ac.in for more details. Students may contact the Examination Cell for more details",3
219,"The institute library is one of the key learning resources which assists students in fulfilling their information requirements in a comfortable study space. The Reading room houses all books for reference work. Institute campus library has 30650 books consisting of engineering and management subjects, technical journals, periodicals.",4
240,are there any cultural or sports events conducted in the campus,5
195,canteen facility for ohu students in the campus,4
96,is there any uniform in the college,2
143,"Following are the offered Post Graduate Programs / Streams / Branches: Information Technology (INFT) 
 Computer Engineering (CMPN) 
 Electronics and Telecommunication Engineering (EXTC) ",3
267,"Friday Paathshaala is a weekly event everyone looks forward to with breathless anticipation every Friday between 4:30pm to 6:30pm in the amphitheatre.Dance, movie screenings, skits, rock shows and many more interesting events give them an opportunity to be free spirits on the campus.",5
113,whic different streams are available in the college,3
7,Is there any name by which people call you?,0
160,are there any rules or protocols to issue books,4
147,"As per the rules and regulations of the University of Mumbai, it is necessary for every student to attend atleast 75% of lectures and practicals of every subject. Student attendance is monitored by the respective department.",3
235,"If you happen to lose any articles or books or any personal thing, you can contact the Lost and Found office (F204) in the F block and attempt to retrieve them. Also, please deposit any articles you may find on the campus in the same office so that the righful owners can reclaim them.",4
187,does college have online exam enrollment,4
284,Bidaya,6
3,Hey how you doing,0
273,Goodbye!,6
242,what do college students do to make college life interesting,5
60,objective of laying institutes's foundation,1
237,The Institute has created a web - based centralized printing service that allows users to give print jobs from anywhere around the globe to Any Time Print (ATP) stations at the institute.,4
239,what interesting events are organised in the college,5
6,Hello! what is your name?,0
87,Vidyalankar Institute of Technology was established in the year 1999 after having secured permission from AICTE and Mumbai University. It was founded by Prof. C. S.Deshpande whose illustrious educational careen and missionary zeal continue to inspire everyone.,1
279,See you later,6
140,"Following are the offered Programs / Streams / Branches: Undergraduate First year Engineering (FE) 
 Undergraduate Direct Second Year (DSY) 
 Postgraduate  Masters of Engineering (ME) 
 Postgraduate  Masters of Management Studies 
 Doctorate PhD in Technology",3
193,what are the cafeteria facilities in the college campus,4
210,are there first aid facilities in the campus,4
24,who made you,0
192,is there any messaging or sms facility,4
260,what is the meaning of corporate social responsibility,5
218,The institute provides students with the Lecture Capture System which is a comprehensive e - learning solution. The core feature is automatic recording and distribution of classroom lectures. This enables the students to re-live their their classroom experience.,4
123,how to get admission in Vidyalankar Institute of Technology,3
254,does vidyalnakar have  any yearly publications for students to read,5
14,Hi buddy,0
115,Vidyalankar Institute of Technology offers which courses to the engineering students,3
257,can students participate in technical clubs or committess in the college,5
223,Students are issued email id firstname.lastname@vit.edu.in on Institute server for academic use.,4
98,whhat to wear in the campus,2
17,hey computer,0
117,various under graduate engineering programmes in the college,3
173,email ids for students,4
28,Ni hao,0
226,Students/Parents who have submitted their cellphone numbers can get message alerts from the Institute informing them about important schedules and announcements.,4
157,is there a library to go and study,4
149,I'm not getting this! I'm so sorry! Please try asking in some other manner.,3
250,does VIT have its own magazine and newspaper publication,5
241,how is the campus life at vit,5
205,does vit provide special services to physically impaired students,4
141,"Following are the offered Undergraduate Programs / Streams / Branches: Information Technology (INFT) 
 Computer Engineering (CMPN) 
 Electronics Engineering (ETRX) 
 Electronics and Telecommunication Engineering (EXTC) 
 Bio-Medical Engineering (BIOM) ",3
230,"Vidyalankar Gurukul, a hostel for boys at Nerul, Navi Mumbai, is managed by Vidyalankar. It is located within a walking distance from Nerul Railway Station . The hostel also fulfills internet and computer requirements.",4
101,which clothes to put on when in campus,2
53,packages offered in placements,1
150,is there any lecture capture facility,4
134,how much attendace is mandatory in the college,3
197,what cafeteria and food services are provided by the college,4
228,"Students can purchase VIT souveniers of their interests for personal use or for gifting. Many articles like T-Shirts, Caps, Mugs, Pens, Watches, Wallets, etc. emblazoned with the VIT logo are available in this outlet.",4
78,where is VIT located,1
153,where do professors put there lectures,4
108,The dress code in the institute should be proper and appropriate. There is no such system of wearing a particular college uniform but a professional appearance is appreciated. Every Monday & Thursday - formal wear is encouraged,2
199,does the campus have any photography or stationary service,4
268,"College publications include our own newsletter named 'Vector' and our annual magazine named 'V Express'. Vector has it's three objectives,
 enhancing the learning environment on campus,
 acquainting students with national and world level events, and 
 encouraging a readership habit.",5
106,does college prevent ragging,2
269,College publications include our own newsletter named 'Vector' and our annual magazine named 'V Express'. V Express serves as an output for the literary creativity of the students of VIT. The editing staff consists of students from all courses.,5
20,Hey what do people call you?,0
189,are parents contacted by the college,4
103,is the college subject to ragging,2
54,When was our college founded,1
30,Yasou,0
18,hi boy,0
182,is there any student profile maintenance software,4
26,Marhaba,0
43,"Do you know Dishant, Ritika, Mrudula, and Parth? These VIT engineers have designed and created me!",0
283,Ma'a as-salaama,6
171,free wifi connection for students,4
221,"Institute has a Computer Centre which gives open access to students for their needs. Apart from IBM compatible Pentium 4 computers, Computer Centre also houses Apple Desktops. hence the practical learning needs are properly taken care.",4
282,AuRevoir,6
16,what's up man,0
122,what is college's admission procedure,3
137,how to get new identity card if previous card got misplaced,3
212,what medical facilities does vit have,4
184,how to apply for railway concession pass for a student,4
144,"The Institute follows eligibility criteria as specified by the Directorate of Technical Education,Maharashtra State. For more information regarding admission or enrollment procedure refer https://www.mahacet.org/",3
256,are there any student clubs or committees in the campus,5
38,My name is InBOT! I am the Induction BOT,0
281,Au Revoir,6
253,what is the name of college magazine,5
102,measures taken to prevent ragging on campus,2
161,what are the practical learning facilities in the college,4
224,"ERP (Enterprise Resource Planning) is a software aimed at bringing in process refinement, efficiency, accountability and control in the college. Apart from managing the administrative, financial and academic functions of the institution, it is also a platform for sharing information between all stakeholders, viz. Students, Parents, Teachers, Administrators, Management, Corporate and the Alumni.",4
185,does college rpovide railway travelling pass facility,4
202,where is the Vidyalnakar Institute of Technology hostel located,4
10,Heyaaa,0
116,various courses offered to students in the college,3
278,Bubye,6
177,student management softwares used by VIT,4
110,I'm not getting this! I'm so sorry! Please try asking in some other manner.,2
77,where is location of Vidyalankar Institute of Technology,1
125,enrollment process in the college,3
275,Bye InBOT,6
11,Hola,0
172,high speed net facilities,4
151,what if someone misses the classes,4
76,what is the address of the college,1
52,highest package offered in college placements,1
32,konnichiwa,0
179,where to find student personal academic details,4
129,at what time does the college begin,3
64,what is the vision of the college,1
51,are college placements,1
91,"Address: Vidyalankar Institute of Technology,
 Vidyalankar Educational Campus,
 Vidyalankar College Marg,
 Wadala (E), Mumbai - 400 037,
 Maharashtra, India 
 Telefax: 022 2416 11 26 
 The campus is located in Wadala (East), a central suburb of Mumbai, and stretches over 11 acres of land. It is close to residential complexes namely, Dosti Acres and Lloyd's Estate.",1
162,are there computer labs to perform practicals in the college,4
56,Who is the founder of VIT,1
262,what does it mean to be corporate socially responsible,5
135,what are the attendace requirements by the college,3
31,Salve,0
119,undergraduate engineering streams,3
136,how to apply for new ID card if old one is lost,3
168,what are the internet facilitites in college campus,4
194,any canteen or cafe in VIT,4
63,Ideas behind starting this college,1
127,when does the college start in the morning,3
139,how much money to pay for new identity card,3
225,"The roles played by ERP are as follows:
 Transparency in administration at all levels.
Accountability in the system.
 Improvement in the quality of education management system.
Profile Maintenance.
 Exam Enrollment.
 Check availability of books in the library.
Request for Bonafide Certificate.
 Class Time-table available",4
19,Hi! What is your name?,0
124,procedure to enrollin VIT,3
33,Assalamo aleikum,0
9,Good evening,0
48,Give basic information about VIT,1
246,what is Friday Pathshaala all about,5
265,Students experience many interesting events during their campus life here at Vidyalankar Institute of Technology. Our Annual Fest is known as 'Verve',5
128,moring college timings,3
5,Hi whats you name,0
40,"I am known as InBOT, the Induction Bot",0
25,who are the people that made you?,0
84,neighbourhood landmarks around Vidyalankar Institute of TEchnology,1
198,what are the different souveniers available for vit students,4
132,what are the VIT office opening timings,3
100,is there any fixed uniform to be weared in the college campus,2
259,are there any extra-curricular clubs or committess to participate,5
142,"Following are the offered Under Graduate Programs / Streams / Branches: Information Technology (INFT) 
 Computer Engineering (CMPN) 
 Electronics Engineering (ETRX) 
 Electronics and Telecommunication Engineering (EXTC) 
 Bio-Medical Engineering (BIOM) ",3
49,How are the college placements,1
155,quiet place for studying in the college,4
217,print printing printout online,4
70,what is VIT's mascot,1
252,can students submit there articles in college magazine,5
178,is there any student performance reviewing software,4
29,Bonjour,0
164,are there any digital laboratory facilities in the campus,4
181,how to download old fee receipts,4
215,is there any printing facility in the college,4
73,policies which VIT follows,1
37,I am doing good! How may I help you?,0
36,Namaste! How may I help you,0
280,Sayonara InBOT!,6
234,"Important Telephone Numbers for Student Assistance:
 Security Officer: 9100/9101 from campus phone located in Telephone booth.
 Fire: 101.
 Police: 100.
 Hospitals: KEM Hospital-022 2413 60 51, Sion Hospital-022 2407 63 84/5.
 Ambulance: 1252.
 Principal: 1001 from Campus phone located in telephone booth.",4
4,HI chatbot,0
232,"The Institute has a sick room for medical assistance during any emergency. First Aid boxes are available at Main Security Cabin, Gymkhana, Main Office. There is also an Ambulance Facility on campus.",4
133,what is the attendance requirement,3
21,Introduce yourself,0
196,are there any coffee cafes in the campus,4
71,mascot of Vidyalankar Institute of Technology,1
107,anti-ragging initiatives taken by the college,2
289,Have a good day ahead!,6
111,academic programmes offered by the college,3
200,where can students buy necessary stationary requirements,4
286,Khuda hafiz,6
244,when is the college annual festival conducted in the college,5
120,post graduate engineering streams,3
105,are students ragged in VIT,2
121,what is VIT admission process,3
186,how to digitally enroll for examination,4
204,different amenities available for physically challenged students,4
233,"VIT is equipped with rest room for physically challenged students. There is a specially marked parking space too. A ramp is fitted alongside the staricase at the entry. In addition to elevators, there is a stair climber too.",4
45,Give an overview about the college,1
270,"Department Student Association:
 ITSA - Information Technology Students' Association 
 CESA - Computer Engineering Students' Association 
 EESA - Electronics Students' Association 
 ETSA - Electronics and Telecommunications Students' Association 
 BMSA - Bio-Medical Students' Association 
 MMSSA - Master of Management Studies Students' Association.",5
203,does college have any hostel or paying guest facility available,4
159,what are the college library rules,4
207,important telephone numbers for student assistance,4
249,are there any weekly events for students to enjoy,5
209,are there any helplines for student assistance,4
176,what is the email id given by the college,4
190,how is contacting achieved between parents students and college,4
261,what does corporate social responsibility mean,5
99,what dress code is to be followed in the college campus,2
251,what is the name of VIT's newspaper,5
62,idea behind VIT,1
59,what is the basic objective of starting this institute,1
55,Who is the founder of our college,1
154,is there any study room,4
